
1.0,3,长门,100,130
,4,长门改,100,160
2.0,5,陆奥,100,130
,6,陆奥改,100,160
3.0,7,伊势,85,120
4.0,8,日向,85,120
5.0,9,雪风,15,20
,10,雪风改,15,20
6.0,11,赤城,60,55
,12,赤城改,75,75
7.0,13,加贺,60,55
,14,加贺改,80,80
8.0,15,苍龙,50,50
,16,苍龙改,65,65
9.0,17,飞龙,50,50
,18,飞龙改,65,65
10.0,19,岛风,20,25
,20,岛风改,20,25
11.0,21,吹雪,15,20
,22,吹雪改,15,20
12.0,23,白雪,15,20
,24,白雪改,15,20
13.0,25,初雪,15,20
,26,初雪改,15,20
14.0,27,深雪,15,20
,28,深雪改,15,20
15.0,29,丛云,15,20
,30,丛云改,15,20
16.0,31,矶波,15,20
,32,矶波改,15,20
17.0,33,绫波,15,20
,34,绫波改,15,20
18.0,35,敷波,15,20
,36,敷波改,15,20
19.0,37,大井,25,25
20.0,38,北上,25,25
21.0,39,金刚,80,110
,40,金刚改,90,120
22.0,41,比睿,80,110
,42,比睿改,90,120
23.0,43,榛名,80,110
,44,榛名改,90,120
24.0,45,雾岛,80,110
,46,雾岛改,90,120
25.0,47,凤翔,25,25
,48,凤翔改,30,30
26.0,49,扶桑,85,120
,50,扶桑改,95,105
27.0,51,山城,85,120
,52,山城改,95,105
28.0,53,天龙,25,20
,54,天龙改,25,25
29.0,55,龙田,25,20
,56,龙田改,25,25
30.0,57,龙骧,35,35
,58,龙骧改,40,40
31.0,59,睦月,15,15
,60,睦月改,15,15
32.0,61,如月,15,15
,62,如月改,15,15
33.0,63,皋月,15,15
,64,皋月改,15,15
34.0,65,文月,15,15
,66,文月改,15,15
35.0,67,长月,15,15
,68,长月改,15,15
36.0,69,菊月,15,15
,70,菊月改,15,15
37.0,71,三日月,15,15
,72,三日月改,15,15
38.0,73,望月,15,15
,74,望月改,15,15
39.0,75,球磨,25,25
,76,球磨改,25,30
40.0,77,多摩,25,25
,78,多摩改,25,30
41.0,79,木曾,25,25
,80,木曾改,25,30
42.0,81,长良,25,25
,82,长良改,25,30
43.0,83,五十铃,25,25
,84,五十铃改,25,30
44.0,85,名取,25,25
,86,名取改,25,30
45.0,87,由良,25,25
,88,由良改,25,30
46.0,89,川内,25,25
,90,川内改,25,30
47.0,91,神通,25,25
,92,神通改,25,30
48.0,93,那珂,25,25
,94,那珂改,25,30
49.0,95,千岁,35,35
50.0,96,千代田,35,35
51.0,97,最上,40,65
52.0,98,古鹰,35,50
,99,古鹰改,35,55
53.0,100,加古,35,50
,101,加古改,35,55
54.0,102,青叶,35,50
,103,青叶改,35,55
55.0,104,妙高,40,65
,105,妙高改,40,70
56.0,106,那智,40,65
,107,那智改,40,70
57.0,108,足柄,40,65
,109,足柄改,40,70
58.0,110,羽黑,40,65
,111,羽黑改,40,70
59.0,112,高雄,40,65
,113,高雄改,40,70
60.0,114,爱宕,40,65
,115,爱宕改,40,70
61.0,116,摩耶,40,65
,117,摩耶改,40,70
62.0,118,鸟海,40,65
,119,鸟海改,40,70
63.0,120,利根,45,60
,121,利根改,45,65
64.0,122,筑摩,45,60
,123,筑摩改,45,65
65.0,124,飞鹰,40,40
,125,飞鹰改,45,45
66.0,126,隼鹰,40,40
,127,隼鹰改,45,45
67.0,128,胧,15,20
,129,胧改,15,20
68.0,130,曙,15,20
,131,曙改,15,20
69.0,132,涟,15,20
,133,涟改,15,20
70.0,134,潮,15,20
,135,潮改,15,20
71.0,136,晓,15,20
,137,晓改,15,20
72.0,138,响,15,20
,139,响改,15,20
73.0,140,雷,15,20
,141,雷改,15,20
74.0,142,电,15,20
,143,电改,15,20
75.0,144,初春,15,20
,145,初春改,15,20
76.0,146,子日,15,20
,147,子日改,15,20
77.0,148,若叶,15,20
,149,若叶改,15,20
78.0,150,初霜,15,20
,151,初霜改,15,20
79.0,152,白露,15,20
,153,白露改,15,20
80.0,154,时雨,15,20
,155,时雨改,15,20
81.0,156,村雨,15,20
,157,村雨改,15,20
82.0,158,夕立,15,20
,159,夕立改,15,20
83.0,160,五月雨,15,20
,161,五月雨改,15,20
84.0,162,凉风,15,20
,163,凉风改,15,20
85.0,164,朝潮,15,20
,165,朝潮改,15,20
86.0,166,大潮,15,20
,167,大潮改,15,20
87.0,168,满潮,15,20
,169,满潮改,15,20
88.0,170,荒潮,15,20
,171,荒潮改,15,20
89.0,172,霰,15,20
,173,霰改,15,20
90.0,174,霞,15,20
,175,霞改,15,20
91.0,176,阳炎,15,20
,177,阳炎改,15,20
92.0,178,不知火,15,20
,179,不知火改,15,20
93.0,180,黑潮,15,20
,181,黑潮改,15,20
94.0,182,祥凤,35,35
,183,祥凤改,40,40
95.0,184,千岁改,35,40
96.0,185,千代田改,35,40
97.0,186,大井改,25,50
98.0,187,北上改,25,50
99.0,188,千岁甲,35,45
100.0,189,千代田甲,35,45
101.0,190,最上改,50,55
102.0,191,伊势改,95,105
103.0,192,日向改,95,105
104.0,193,千岁航,40,40
,194,千岁航改,45,40
105.0,195,千代田航,40,40
,196,千代田航改,45,40
106.0,197,翔鹤,55,55
,198,翔鹤改,65,70
107.0,199,瑞鹤,55,55
108.0,200,瑞鹤改,65,70
109.0,201,鬼怒,25,25
,202,鬼怒改,25,35
110.0,203,阿武隈,25,25
,204,阿武隈改,25,35
111.0,205,夕张,20,30
,206,夕张改,25,40
112.0,207,瑞凤,35,35
113.0,208,瑞凤改,40,40
114.0,209,大井改二,25,75
115.0,210,北上改二,25,75
116.0,211,三隈,40,65
117.0,212,三隈改,50,55
118.0,213,初风,15,20
,214,初风改,15,20
